更新时间: 2026-04-20 16:28:57（北京时间）

更新时间,#genre#
2026-04-20 16:28:57,http://kakaxi.indevs.in/LOGO/Disclaimer.mp4

广西卫视,http://183.30.202.85:8000/rtp/239.77.0.139:5146$广东电信
广西卫视,http://221.232.40.13:8888/rtp/239.69.1.191:10788$湖北电信
广西卫视,http://58.62.234.243:10000/rtp/239.77.0.139:5146$广东电信
东南卫视,http://183.30.202.85:8000/rtp/239.77.0.146:5146$广东电信
东南卫视,http://220.192.130.71:8002/rtp/225.0.4.200:7980$重庆市联通
东南卫视,http://221.232.40.13:8888/rtp/239.69.1.108:10286$湖北电信
东南卫视,http://58.62.234.243:10000/rtp/239.77.0.146:5146$广东电信
海南卫视,http://183.30.202.85:8000/rtp/239.253.43.35:5146$广东电信
海南卫视,http://221.232.40.13:8888/rtp/239.69.1.151:10542$湖北电信
海南卫视,http://58.62.234.243:10000/rtp/239.253.43.35:5146$广东电信
河北卫视,http://183.30.202.85:8000/rtp/239.77.1.214:5146$广东电信
河北卫视,http://220.192.130.71:8002/rtp/225.0.4.174:7980$重庆市联通
河北卫视,http://221.232.40.13:8888/rtp/239.254.96.113:9616$湖北电信
河北卫视,http://58.62.234.243:10000/rtp/239.77.1.214:5146$广东电信
河南卫视,http://183.30.202.85:8000/rtp/239.77.0.17:5146$广东电信
河南卫视,http://221.232.40.13:8888/rtp/239.69.1.168:10644$湖北电信
河南卫视,http://58.62.234.243:10000/rtp/239.77.0.17:5146$广东电信
湖北卫视,http://183.30.202.85:8000/rtp/239.77.0.95:5146$广东电信
湖北卫视,http://220.192.130.71:8002/rtp/225.0.4.217:7980$重庆市联通
湖北卫视,http://221.232.40.13:8888/rtp/239.254.96.115:8664$湖北电信
湖北卫视,http://58.62.234.243:10000/rtp/239.77.0.95:5146$广东电信
江西卫视,http://183.30.202.85:8000/rtp/239.77.1.219:5146$广东电信
江西卫视,http://220.192.130.71:8002/rtp/225.0.4.203:7980$重庆市联通
江西卫视,http://221.232.40.13:8888/rtp/239.69.1.126:10394$湖北电信
江西卫视,http://58.62.234.243:10000/rtp/239.77.1.219:5146$广东电信
四川卫视,http://183.30.202.85:8000/rtp/239.77.0.159:5146$广东电信
四川卫视,http://183.30.202.85:8000/rtp/239.77.0.60:5146$广东电信
四川卫视,http://220.192.130.71:8002/rtp/225.0.4.108:7980$重庆市联通
四川卫视,http://220.192.130.71:8002/rtp/225.0.4.204:7980$重庆市联通
四川卫视,http://221.232.40.13:8888/rtp/239.69.1.169:10650$湖北电信
四川卫视,http://58.62.234.243:10000/rtp/239.77.0.159:5146$广东电信
四川卫视,http://58.62.234.243:10000/rtp/239.77.0.60:5146$广东电信
重庆卫视,http://183.30.202.85:8000/rtp/239.77.0.182:5146$广东电信
重庆卫视,http://220.192.130.71:8002/rtp/225.0.4.187:7980$重庆市联通
重庆卫视,http://221.232.40.13:8888/rtp/239.69.1.149:10530$湖北电信
重庆卫视,http://58.62.234.243:10000/rtp/239.77.0.182:5146$广东电信
